```csv
Component Type,Value,Part Number,Quantity
IC,TL084P,TL084P,4
IC,40106,CD40106BE,1
IC,TL074,TL074,1
Diode,1N4148,1N4148,13
Resistor,1K,CF14JT1K00,6
Resistor,10K,CF14JT10K0,4
Resistor,100K,CF14JT100K,9
Resistor,1M,CF14JT1M00,5
Resistor,22K,CF14JT22K0,3
Resistor,220K,CF14JT220K,2
Resistor,330K,CF14JT330K,1
Resistor,470K,CF14JT470K,1
Resistor,680K,CF14JT680K,1
Resistor,2K2,CF14JT2K20,1
Resistor,18K,CF14JT18K0,1
Resistor,110K,CF14JT110K,1
Capacitor,100nF,K104K15X7RF53L2,4
Capacitor,10nF,K103K15X7RF53L2,1
Capacitor,22pF,C0G0805220J500A,3
Capacitor,56pF,C0G0805560J500A,2
Capacitor,2uF,UVR1C020MDD,1
Capacitor,1uF,UVR1C010MDD,2
Capacitor,2.2nF,C0G0805222J500A,1
LED,Yellow,LTST-C150YKT,1
LED,Red,LTST-C150KRKT,2
Jack,3.5mm Mono,PJ301M-12,12
Potentiometer,1M Linear,RV16AF-4A-15R1-A1M,2
Potentiometer,100K Linear,RV16AF-4A-15R1-A100K,1
Switch,SPDT,MFS101A03,1
```
